Resume,Job Description,BERT Similarity,Missing Skills,Enhanced Resume Text
assistant-project-manager-resume-example.docx,Assistant Project Manager Job Description.docx,0.8928629755973816,"['rfi’s', 'rai', 'project', 'pto', 'project closure collect']","SEAN HAN ASSISTANT PROJECT MANAGER  CONTACT sean.han@email.com (123) 456-7890 Kansas City, MO LinkedIn CAREER OBJECTIVE Efficient self-starter eager to apply intern experience at Tenenz, where I can grow under the direction of a seasoned PM. Motivated to increase my skill set while offering meaningful contributions with SQL and Tableau abilities. EDUCATION B.S. Mathematics Kansas City University September 2016 - April 2020 Kansas City, MO RELEVANT COURSES Intermediate programming Probability & Statistics Linear Algebra Applied Econometrics Game Theory Calculus 1-3 SKILLS  Excel, Google Sheets, SQL Tableau WORK EXPERIENCE Project Manager Intern Applied Marketing Science April 2019 - March 2020 / Kansas City, MO · Built data visualizations using SQL and Tableau for product KPIs that reduced manual reporting work by 10 hours weekly · Set up Google Analytics dashboards to identify product features that correlated with customer attrition, leading to proactive interventions that reduced monthly churn by 4% · Using Excel and SQL identified an area of the client product funnel that was underperforming and recommended improvements that increased free trial activation rate by 14% for 18-29-year-old females · Worked to understand client pain points, and demonstrated that data in team presentation reports Project Manager Intern Etsy April 2018 - July 2018 / Kansas City, MO · Developed and fostered relationships with customers to identify and remove roadblocks in obtaining the most value for Etsy · Designed and managed a new customer on-boarding process for Etsy services, resulting in an improvement in customer retention of ~24% · Performed tests and rollouts to ease vendor experience on Etsy with 6 project managers · Checked in with and collaboratd with department heads and cross-functional teams to meet a variety of needs PROJECTS Your Voice Matters Project · Scoped out features, created basic wireframes, and built the product roadmap for a mobile app that allows users to vote on the bands they want to play at community events · Won 2nd place overall out of 64 competing teams · Conducted user research interviews and metric tracking in Google Analytics to optimize feature-set, which improved daily engagement by 19% · Led the product direction for a team consisting of 2 engineers and a designer for a campus-wide hackathon · Spearheaded the launch and marketing of the product to our student-base, which went live to 16K students

---

🛠️ **Skills Added for Job Alignment:**
- rfi’s
- rai
- project
- pto
- project closure collect"
assistant-project-manager-resume-example.docx,Chemical Engineerieng job description.docx,0.9130162596702576,"['premium', 'technical', 'iso', 'chemical process', 'tx']","SEAN HAN ASSISTANT PROJECT MANAGER  CONTACT sean.han@email.com (123) 456-7890 Kansas City, MO LinkedIn CAREER OBJECTIVE Efficient self-starter eager to apply intern experience at Tenenz, where I can grow under the direction of a seasoned PM. Motivated to increase my skill set while offering meaningful contributions with SQL and Tableau abilities. EDUCATION B.S. Mathematics Kansas City University September 2016 - April 2020 Kansas City, MO RELEVANT COURSES Intermediate programming Probability & Statistics Linear Algebra Applied Econometrics Game Theory Calculus 1-3 SKILLS  Excel, Google Sheets, SQL Tableau WORK EXPERIENCE Project Manager Intern Applied Marketing Science April 2019 - March 2020 / Kansas City, MO · Built data visualizations using SQL and Tableau for product KPIs that reduced manual reporting work by 10 hours weekly · Set up Google Analytics dashboards to identify product features that correlated with customer attrition, leading to proactive interventions that reduced monthly churn by 4% · Using Excel and SQL identified an area of the client product funnel that was underperforming and recommended improvements that increased free trial activation rate by 14% for 18-29-year-old females · Worked to understand client pain points, and demonstrated that data in team presentation reports Project Manager Intern Etsy April 2018 - July 2018 / Kansas City, MO · Developed and fostered relationships with customers to identify and remove roadblocks in obtaining the most value for Etsy · Designed and managed a new customer on-boarding process for Etsy services, resulting in an improvement in customer retention of ~24% · Performed tests and rollouts to ease vendor experience on Etsy with 6 project managers · Checked in with and collaboratd with department heads and cross-functional teams to meet a variety of needs PROJECTS Your Voice Matters Project · Scoped out features, created basic wireframes, and built the product roadmap for a mobile app that allows users to vote on the bands they want to play at community events · Won 2nd place overall out of 64 competing teams · Conducted user research interviews and metric tracking in Google Analytics to optimize feature-set, which improved daily engagement by 19% · Led the product direction for a team consisting of 2 engineers and a designer for a campus-wide hackathon · Spearheaded the launch and marketing of the product to our student-base, which went live to 16K students

---

🛠️ **Skills Added for Job Alignment:**
- premium
- technical
- iso
- chemical process
- tx"
assistant-project-manager-resume-example.docx,Computer Science job description.docx,0.9311879277229309,"['healthcare', 'premium', 'linux', 'dental']","SEAN HAN ASSISTANT PROJECT MANAGER  CONTACT sean.han@email.com (123) 456-7890 Kansas City, MO LinkedIn CAREER OBJECTIVE Efficient self-starter eager to apply intern experience at Tenenz, where I can grow under the direction of a seasoned PM. Motivated to increase my skill set while offering meaningful contributions with SQL and Tableau abilities. EDUCATION B.S. Mathematics Kansas City University September 2016 - April 2020 Kansas City, MO RELEVANT COURSES Intermediate programming Probability & Statistics Linear Algebra Applied Econometrics Game Theory Calculus 1-3 SKILLS  Excel, Google Sheets, SQL Tableau WORK EXPERIENCE Project Manager Intern Applied Marketing Science April 2019 - March 2020 / Kansas City, MO · Built data visualizations using SQL and Tableau for product KPIs that reduced manual reporting work by 10 hours weekly · Set up Google Analytics dashboards to identify product features that correlated with customer attrition, leading to proactive interventions that reduced monthly churn by 4% · Using Excel and SQL identified an area of the client product funnel that was underperforming and recommended improvements that increased free trial activation rate by 14% for 18-29-year-old females · Worked to understand client pain points, and demonstrated that data in team presentation reports Project Manager Intern Etsy April 2018 - July 2018 / Kansas City, MO · Developed and fostered relationships with customers to identify and remove roadblocks in obtaining the most value for Etsy · Designed and managed a new customer on-boarding process for Etsy services, resulting in an improvement in customer retention of ~24% · Performed tests and rollouts to ease vendor experience on Etsy with 6 project managers · Checked in with and collaboratd with department heads and cross-functional teams to meet a variety of needs PROJECTS Your Voice Matters Project · Scoped out features, created basic wireframes, and built the product roadmap for a mobile app that allows users to vote on the bands they want to play at community events · Won 2nd place overall out of 64 competing teams · Conducted user research interviews and metric tracking in Google Analytics to optimize feature-set, which improved daily engagement by 19% · Led the product direction for a team consisting of 2 engineers and a designer for a campus-wide hackathon · Spearheaded the launch and marketing of the product to our student-base, which went live to 16K students

---

🛠️ **Skills Added for Job Alignment:**
- healthcare
- premium
- linux
- dental"
assistant-project-manager-resume-example.docx,Industrial engineer job description.docx,0.9173242449760437,"['hmi', 'perks', 'rockwell', 'fat', 'pto', 'education', 'excel', 'siemens', 'sat', 'parental', 'scada', 'dental']","SEAN HAN ASSISTANT PROJECT MANAGER  CONTACT sean.han@email.com (123) 456-7890 Kansas City, MO LinkedIn CAREER OBJECTIVE Efficient self-starter eager to apply intern experience at Tenenz, where I can grow under the direction of a seasoned PM. Motivated to increase my skill set while offering meaningful contributions with SQL and Tableau abilities. EDUCATION B.S. Mathematics Kansas City University September 2016 - April 2020 Kansas City, MO RELEVANT COURSES Intermediate programming Probability & Statistics Linear Algebra Applied Econometrics Game Theory Calculus 1-3 SKILLS  Excel, Google Sheets, SQL Tableau WORK EXPERIENCE Project Manager Intern Applied Marketing Science April 2019 - March 2020 / Kansas City, MO · Built data visualizations using SQL and Tableau for product KPIs that reduced manual reporting work by 10 hours weekly · Set up Google Analytics dashboards to identify product features that correlated with customer attrition, leading to proactive interventions that reduced monthly churn by 4% · Using Excel and SQL identified an area of the client product funnel that was underperforming and recommended improvements that increased free trial activation rate by 14% for 18-29-year-old females · Worked to understand client pain points, and demonstrated that data in team presentation reports Project Manager Intern Etsy April 2018 - July 2018 / Kansas City, MO · Developed and fostered relationships with customers to identify and remove roadblocks in obtaining the most value for Etsy · Designed and managed a new customer on-boarding process for Etsy services, resulting in an improvement in customer retention of ~24% · Performed tests and rollouts to ease vendor experience on Etsy with 6 project managers · Checked in with and collaboratd with department heads and cross-functional teams to meet a variety of needs PROJECTS Your Voice Matters Project · Scoped out features, created basic wireframes, and built the product roadmap for a mobile app that allows users to vote on the bands they want to play at community events · Won 2nd place overall out of 64 competing teams · Conducted user research interviews and metric tracking in Google Analytics to optimize feature-set, which improved daily engagement by 19% · Led the product direction for a team consisting of 2 engineers and a designer for a campus-wide hackathon · Spearheaded the launch and marketing of the product to our student-base, which went live to 16K students

---

🛠️ **Skills Added for Job Alignment:**
- hmi
- perks
- rockwell
- fat
- pto
- education
- excel
- siemens
- sat
- parental
- scada
- dental"
assistant-project-manager-resume-example.docx,Industry manager job description.docx,0.9470270276069641,"['premium', 'lidar', 'tx', 'own', 'pto']","SEAN HAN ASSISTANT PROJECT MANAGER  CONTACT sean.han@email.com (123) 456-7890 Kansas City, MO LinkedIn CAREER OBJECTIVE Efficient self-starter eager to apply intern experience at Tenenz, where I can grow under the direction of a seasoned PM. Motivated to increase my skill set while offering meaningful contributions with SQL and Tableau abilities. EDUCATION B.S. Mathematics Kansas City University September 2016 - April 2020 Kansas City, MO RELEVANT COURSES Intermediate programming Probability & Statistics Linear Algebra Applied Econometrics Game Theory Calculus 1-3 SKILLS  Excel, Google Sheets, SQL Tableau WORK EXPERIENCE Project Manager Intern Applied Marketing Science April 2019 - March 2020 / Kansas City, MO · Built data visualizations using SQL and Tableau for product KPIs that reduced manual reporting work by 10 hours weekly · Set up Google Analytics dashboards to identify product features that correlated with customer attrition, leading to proactive interventions that reduced monthly churn by 4% · Using Excel and SQL identified an area of the client product funnel that was underperforming and recommended improvements that increased free trial activation rate by 14% for 18-29-year-old females · Worked to understand client pain points, and demonstrated that data in team presentation reports Project Manager Intern Etsy April 2018 - July 2018 / Kansas City, MO · Developed and fostered relationships with customers to identify and remove roadblocks in obtaining the most value for Etsy · Designed and managed a new customer on-boarding process for Etsy services, resulting in an improvement in customer retention of ~24% · Performed tests and rollouts to ease vendor experience on Etsy with 6 project managers · Checked in with and collaboratd with department heads and cross-functional teams to meet a variety of needs PROJECTS Your Voice Matters Project · Scoped out features, created basic wireframes, and built the product roadmap for a mobile app that allows users to vote on the bands they want to play at community events · Won 2nd place overall out of 64 competing teams · Conducted user research interviews and metric tracking in Google Analytics to optimize feature-set, which improved daily engagement by 19% · Led the product direction for a team consisting of 2 engineers and a designer for a campus-wide hackathon · Spearheaded the launch and marketing of the product to our student-base, which went live to 16K students

---

🛠️ **Skills Added for Job Alignment:**
- premium
- lidar
- tx
- own
- pto"
assistant-project-manager-resume-example.docx,Mechanical engineering job description.docx,0.9395190477371216,"['premium', '3d', 'improve', 'success', 'evaluate', 'premium access', 'cad']","SEAN HAN ASSISTANT PROJECT MANAGER  CONTACT sean.han@email.com (123) 456-7890 Kansas City, MO LinkedIn CAREER OBJECTIVE Efficient self-starter eager to apply intern experience at Tenenz, where I can grow under the direction of a seasoned PM. Motivated to increase my skill set while offering meaningful contributions with SQL and Tableau abilities. EDUCATION B.S. Mathematics Kansas City University September 2016 - April 2020 Kansas City, MO RELEVANT COURSES Intermediate programming Probability & Statistics Linear Algebra Applied Econometrics Game Theory Calculus 1-3 SKILLS  Excel, Google Sheets, SQL Tableau WORK EXPERIENCE Project Manager Intern Applied Marketing Science April 2019 - March 2020 / Kansas City, MO · Built data visualizations using SQL and Tableau for product KPIs that reduced manual reporting work by 10 hours weekly · Set up Google Analytics dashboards to identify product features that correlated with customer attrition, leading to proactive interventions that reduced monthly churn by 4% · Using Excel and SQL identified an area of the client product funnel that was underperforming and recommended improvements that increased free trial activation rate by 14% for 18-29-year-old females · Worked to understand client pain points, and demonstrated that data in team presentation reports Project Manager Intern Etsy April 2018 - July 2018 / Kansas City, MO · Developed and fostered relationships with customers to identify and remove roadblocks in obtaining the most value for Etsy · Designed and managed a new customer on-boarding process for Etsy services, resulting in an improvement in customer retention of ~24% · Performed tests and rollouts to ease vendor experience on Etsy with 6 project managers · Checked in with and collaboratd with department heads and cross-functional teams to meet a variety of needs PROJECTS Your Voice Matters Project · Scoped out features, created basic wireframes, and built the product roadmap for a mobile app that allows users to vote on the bands they want to play at community events · Won 2nd place overall out of 64 competing teams · Conducted user research interviews and metric tracking in Google Analytics to optimize feature-set, which improved daily engagement by 19% · Led the product direction for a team consisting of 2 engineers and a designer for a campus-wide hackathon · Spearheaded the launch and marketing of the product to our student-base, which went live to 16K students

---

🛠️ **Skills Added for Job Alignment:**
- premium
- 3d
- improve
- success
- evaluate
- premium access
- cad"
assistant-project-manager-resume-example.docx,Nurse job description.docx,0.9042268991470337,"['dea', 'premium', 'universal health', 'health', 'general practice', 'hospitalist', 'icu', 'disability']","SEAN HAN ASSISTANT PROJECT MANAGER  CONTACT sean.han@email.com (123) 456-7890 Kansas City, MO LinkedIn CAREER OBJECTIVE Efficient self-starter eager to apply intern experience at Tenenz, where I can grow under the direction of a seasoned PM. Motivated to increase my skill set while offering meaningful contributions with SQL and Tableau abilities. EDUCATION B.S. Mathematics Kansas City University September 2016 - April 2020 Kansas City, MO RELEVANT COURSES Intermediate programming Probability & Statistics Linear Algebra Applied Econometrics Game Theory Calculus 1-3 SKILLS  Excel, Google Sheets, SQL Tableau WORK EXPERIENCE Project Manager Intern Applied Marketing Science April 2019 - March 2020 / Kansas City, MO · Built data visualizations using SQL and Tableau for product KPIs that reduced manual reporting work by 10 hours weekly · Set up Google Analytics dashboards to identify product features that correlated with customer attrition, leading to proactive interventions that reduced monthly churn by 4% · Using Excel and SQL identified an area of the client product funnel that was underperforming and recommended improvements that increased free trial activation rate by 14% for 18-29-year-old females · Worked to understand client pain points, and demonstrated that data in team presentation reports Project Manager Intern Etsy April 2018 - July 2018 / Kansas City, MO · Developed and fostered relationships with customers to identify and remove roadblocks in obtaining the most value for Etsy · Designed and managed a new customer on-boarding process for Etsy services, resulting in an improvement in customer retention of ~24% · Performed tests and rollouts to ease vendor experience on Etsy with 6 project managers · Checked in with and collaboratd with department heads and cross-functional teams to meet a variety of needs PROJECTS Your Voice Matters Project · Scoped out features, created basic wireframes, and built the product roadmap for a mobile app that allows users to vote on the bands they want to play at community events · Won 2nd place overall out of 64 competing teams · Conducted user research interviews and metric tracking in Google Analytics to optimize feature-set, which improved daily engagement by 19% · Led the product direction for a team consisting of 2 engineers and a designer for a campus-wide hackathon · Spearheaded the launch and marketing of the product to our student-base, which went live to 16K students

---

🛠️ **Skills Added for Job Alignment:**
- dea
- premium
- universal health
- health
- general practice
- hospitalist
- icu
- disability"
assistant-project-manager-resume-example.docx,Physician job description.docx,0.9070004224777222,"['premium', 'board certified', 'llc']","SEAN HAN ASSISTANT PROJECT MANAGER  CONTACT sean.han@email.com (123) 456-7890 Kansas City, MO LinkedIn CAREER OBJECTIVE Efficient self-starter eager to apply intern experience at Tenenz, where I can grow under the direction of a seasoned PM. Motivated to increase my skill set while offering meaningful contributions with SQL and Tableau abilities. EDUCATION B.S. Mathematics Kansas City University September 2016 - April 2020 Kansas City, MO RELEVANT COURSES Intermediate programming Probability & Statistics Linear Algebra Applied Econometrics Game Theory Calculus 1-3 SKILLS  Excel, Google Sheets, SQL Tableau WORK EXPERIENCE Project Manager Intern Applied Marketing Science April 2019 - March 2020 / Kansas City, MO · Built data visualizations using SQL and Tableau for product KPIs that reduced manual reporting work by 10 hours weekly · Set up Google Analytics dashboards to identify product features that correlated with customer attrition, leading to proactive interventions that reduced monthly churn by 4% · Using Excel and SQL identified an area of the client product funnel that was underperforming and recommended improvements that increased free trial activation rate by 14% for 18-29-year-old females · Worked to understand client pain points, and demonstrated that data in team presentation reports Project Manager Intern Etsy April 2018 - July 2018 / Kansas City, MO · Developed and fostered relationships with customers to identify and remove roadblocks in obtaining the most value for Etsy · Designed and managed a new customer on-boarding process for Etsy services, resulting in an improvement in customer retention of ~24% · Performed tests and rollouts to ease vendor experience on Etsy with 6 project managers · Checked in with and collaboratd with department heads and cross-functional teams to meet a variety of needs PROJECTS Your Voice Matters Project · Scoped out features, created basic wireframes, and built the product roadmap for a mobile app that allows users to vote on the bands they want to play at community events · Won 2nd place overall out of 64 competing teams · Conducted user research interviews and metric tracking in Google Analytics to optimize feature-set, which improved daily engagement by 19% · Led the product direction for a team consisting of 2 engineers and a designer for a campus-wide hackathon · Spearheaded the launch and marketing of the product to our student-base, which went live to 16K students

---

🛠️ **Skills Added for Job Alignment:**
- premium
- board certified
- llc"
chemical engineering resume.pdf,Assistant Project Manager Job Description.docx,0.8542627692222595,"['rai', 'microsoft office', 'lessons learned', 'project', 'pto']","Experienced Engineering
790 East 1319 South (801) 899-9091
Provo, Utah 84604 exp_chem.e@gmail.com
EDUCATION
Bachelor of Science in Chemical Engineering, Apr 2020 GPA: 3.38/4.00
Brigham Young University, Provo, Utah
WORK EXPERIENCE
Nuclear Engineer Intern – ABC Engineering, Los Alamos, NM May 2019 – Present
• Decreased pumping cost by 30% for reactor cartridges by revolutionizing geometry in CFD
• Coupled MCNP with CFD to investigate Molybdenum-99 production in a solution reactor
• Reduced computation time for CFD model by 50% by strategically employing symmetry
Molten Salt Reactor Research Assistant – Brigham Young University, Provo, UT Aug 2017 – Present
• Explored and presented feasibility of different molten salt reactor designs to investing company
• Developed experiment to determine density of molten salts (FLiBe, FLiNaK)
Application Engineer Intern – DEF Engineering, Bellevue, WA Jan 2018 – Dec 2018
• Cut cost by $500,000 for sulfuric acid dilution skid by selecting individual compatible components
• Conducted feasibility study for 15 MM gal/yr biomass-to-liquids plant in Yakima, WA
Lead Technician – GHI Engineering, Issaquah, WA June 2013 – Sept 2017
• Led teams of 3-5 to complete several $10,000-20,000 renovation projects up to spec
• Translated for company president to Spanish-speaking employees on a weekly basis
SKILLS
Programming and software abilities:
STAR-CCM+ computational fluid dynamics Python
Computational Chemistry Software (Gauss View) SolidWorks CAD modeling
Microsoft Excel Math CAD
Fluent in Spanish – highly proficient in speaking, reading, and writing
PUBLICATIONS, AWARDS AND HONORS
Los Alamos National Lab 2019 Poster Symposium – Engineering Poster May 2019
Los Alamos National Lab SPOT Award – initiative and creativity in thermal fluid modeling May 2019
Starter for BYU Men’s Ultimate Frisbee team Apr 2017 – July 2019
Chemical Engineering Department Leadership Scholarship July 2018, July 2019
Boeing Employees Credit Union Foundation Scholarship Aug 2017
BYU half-tuition academic scholarship Aug 2016 – Apr 2020
Boy Scouts of America Eagle Scout Award Mar 2011
VOLUNTEER SERVICE
American Nuclear Society: BYU Chapter Activities Coordinator Jan 2018 – Present
Full-time representative for The Church of Jesus Christ of Latter-day Saints June 2014 – June 2016


---

🛠️ **Skills Added for Job Alignment:**
- rai
- microsoft office
- lessons learned
- project
- pto"
chemical engineering resume.pdf,Chemical Engineerieng job description.docx,0.8588129281997681,"['premium', 'technical', 'iso', 'microsoft office', 'tx']","Experienced Engineering
790 East 1319 South (801) 899-9091
Provo, Utah 84604 exp_chem.e@gmail.com
EDUCATION
Bachelor of Science in Chemical Engineering, Apr 2020 GPA: 3.38/4.00
Brigham Young University, Provo, Utah
WORK EXPERIENCE
Nuclear Engineer Intern – ABC Engineering, Los Alamos, NM May 2019 – Present
• Decreased pumping cost by 30% for reactor cartridges by revolutionizing geometry in CFD
• Coupled MCNP with CFD to investigate Molybdenum-99 production in a solution reactor
• Reduced computation time for CFD model by 50% by strategically employing symmetry
Molten Salt Reactor Research Assistant – Brigham Young University, Provo, UT Aug 2017 – Present
• Explored and presented feasibility of different molten salt reactor designs to investing company
• Developed experiment to determine density of molten salts (FLiBe, FLiNaK)
Application Engineer Intern – DEF Engineering, Bellevue, WA Jan 2018 – Dec 2018
• Cut cost by $500,000 for sulfuric acid dilution skid by selecting individual compatible components
• Conducted feasibility study for 15 MM gal/yr biomass-to-liquids plant in Yakima, WA
Lead Technician – GHI Engineering, Issaquah, WA June 2013 – Sept 2017
• Led teams of 3-5 to complete several $10,000-20,000 renovation projects up to spec
• Translated for company president to Spanish-speaking employees on a weekly basis
SKILLS
Programming and software abilities:
STAR-CCM+ computational fluid dynamics Python
Computational Chemistry Software (Gauss View) SolidWorks CAD modeling
Microsoft Excel Math CAD
Fluent in Spanish – highly proficient in speaking, reading, and writing
PUBLICATIONS, AWARDS AND HONORS
Los Alamos National Lab 2019 Poster Symposium – Engineering Poster May 2019
Los Alamos National Lab SPOT Award – initiative and creativity in thermal fluid modeling May 2019
Starter for BYU Men’s Ultimate Frisbee team Apr 2017 – July 2019
Chemical Engineering Department Leadership Scholarship July 2018, July 2019
Boeing Employees Credit Union Foundation Scholarship Aug 2017
BYU half-tuition academic scholarship Aug 2016 – Apr 2020
Boy Scouts of America Eagle Scout Award Mar 2011
VOLUNTEER SERVICE
American Nuclear Society: BYU Chapter Activities Coordinator Jan 2018 – Present
Full-time representative for The Church of Jesus Christ of Latter-day Saints June 2014 – June 2016


---

🛠️ **Skills Added for Job Alignment:**
- premium
- technical
- iso
- microsoft office
- tx"
